community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	iECUMN_1333	iYL1228	M_fe3_e	1.0	1.0	1	1.0
all	minimal	iECUMN_1333	iYL1228	M_gthrd_e	1.0	1.0	1	1.0
all	minimal	iECUMN_1333	iYL1228	M_o2_e	1.0	1.0	1	1.0
all	minimal	iECUMN_1333	iUMNK88_1353	M_cpgn_e	0.5	1.0	1	0.5
all	minimal	iECUMN_1333	iUMNK88_1353	M_fe3_e	0.5	1.0	1	0.5
all	minimal	iECUMN_1333	iUMNK88_1353	M_gthrd_e	0.5	1.0	1	0.5
all	minimal	iUMNK88_1353	iYL1228	M_fe3_e	1.0	1.0	1	1.0
all	minimal	iUMNK88_1353	iYL1228	M_g3pg_e	1.0	1.0	1	1.0
all	minimal	iUMNK88_1353	iYL1228	M_gthrd_e	1.0	1.0	1	1.0
all	minimal	iUMNK88_1353	iYL1228	M_o2_e	1.0	1.0	1	1.0
all	minimal	iECSE_1348	iNRG857_1313	M_anhgm_e	0.5	1.0	1	0.5
all	minimal	iECSE_1348	iNRG857_1313	M_arbtn_fe3_e	0.5	1.0	1	0.5
all	minimal	iECSE_1348	iNRG857_1313	M_fe3_e	0.5	1.0	1	0.5
all	minimal	iECSE_1348	iNRG857_1313	M_g3pg_e	0.5	1.0	1	0.5
all	minimal	iECSE_1348	iNRG857_1313	M_gthrd_e	0.5	1.0	1	0.5
all	minimal	iECSE_1348	iYL1228	M_anhgm_e	1.0	1.0	1	1.0
all	minimal	iECSE_1348	iYL1228	M_fe3_e	1.0	1.0	1	1.0
all	minimal	iECSE_1348	iYL1228	M_g3pg_e	1.0	1.0	1	1.0
all	minimal	iECSE_1348	iYL1228	M_gthrd_e	1.0	1.0	1	1.0
all	minimal	iECSE_1348	iYL1228	M_o2_e	1.0	1.0	1	1.0
all	minimal	iECSE_1348	iUMNK88_1353	M_anhgm_e	0.5	1.0	1	0.5
all	minimal	iECSE_1348	iUMNK88_1353	M_arbtn_fe3_e	0.5	1.0	1	0.5
all	minimal	iECSE_1348	iUMNK88_1353	M_fe3_e	0.5	1.0	1	0.5
all	minimal	iECSE_1348	iUMNK88_1353	M_g3pg_e	0.5	1.0	1	0.5
all	minimal	iECSE_1348	iUMNK88_1353	M_gthrd_e	0.5	1.0	1	0.5
all	minimal	iETEC_1333	iNRG857_1313	M_cu2_e	0.5	1.0	1	0.5
all	minimal	iETEC_1333	iNRG857_1313	M_fe3_e	0.5	1.0	1	0.5
all	minimal	iETEC_1333	iNRG857_1313	M_gthrd_e	0.5	1.0	1	0.5
all	minimal	iETEC_1333	iYL1228	M_cu2_e	1.0	1.0	1	1.0
all	minimal	iETEC_1333	iYL1228	M_fe3_e	1.0	1.0	1	1.0
all	minimal	iETEC_1333	iYL1228	M_gthrd_e	1.0	1.0	1	1.0
all	minimal	iETEC_1333	iYL1228	M_o2_e	1.0	1.0	1	1.0
all	minimal	iETEC_1333	iUMNK88_1353	M_cu2_e	0.5	1.0	1	0.5
all	minimal	iETEC_1333	iUMNK88_1353	M_fe3_e	0.5	1.0	1	0.5
all	minimal	iETEC_1333	iUMNK88_1353	M_gthrd_e	0.5	1.0	1	0.5
all	minimal	iUTI89_1310	iNRG857_1313	M_cu2_e	0.5	1.0	1	0.5
all	minimal	iUTI89_1310	iNRG857_1313	M_cys__L_e	0.5	1.0	1	0.5
all	minimal	iUTI89_1310	iNRG857_1313	M_fe3_e	0.5	1.0	1	0.5
all	minimal	iUTI89_1310	iNRG857_1313	M_glyc3p_e	0.5	1.0	1	0.5
all	minimal	iUTI89_1310	iYL1228	M_cu2_e	1.0	1.0	1	1.0
all	minimal	iUTI89_1310	iYL1228	M_cys__L_e	1.0	1.0	1	1.0
all	minimal	iUTI89_1310	iYL1228	M_fe3_e	1.0	1.0	1	1.0
all	minimal	iUTI89_1310	iYL1228	M_glyc3p_e	1.0	1.0	1	1.0
all	minimal	iUTI89_1310	iYL1228	M_o2_e	1.0	1.0	1	1.0
all	minimal	iUTI89_1310	iUMNK88_1353	M_cu2_e	0.5	1.0	1	0.5
all	minimal	iUTI89_1310	iUMNK88_1353	M_cys__L_e	0.5	1.0	1	0.5
all	minimal	iUTI89_1310	iUMNK88_1353	M_fe3_e	0.5	1.0	1	0.5
all	minimal	iUTI89_1310	iUMNK88_1353	M_glyc3p_e	0.5	1.0	1	0.5
